epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1920.53,1.98511,0.8804,1.02463,0.47013,0.30388,0.27305,0.0945,2.86773,2.81629,1.29889,0.001307,0.001307,0.001307
44,1965.36,2.0092,0.88258,1.04342,0.45591,0.30132,0.26239,0.08974,2.83658,2.6996,1.28991,0.0012905,0.0012905,0.0012905
45,2010.79,1.9641,0.87767,1.02691,0.47089,0.30668,0.27298,0.09015,2.97244,2.77335,1.32504,0.001274,0.001274,0.001274
46,2053.49,2.03838,0.87618,1.04262,0.42956,0.28057,0.24278,0.0777,3.02836,2.7653,1.31465,0.0012575,0.0012575,0.0012575
47,2097.61,2.02615,0.88332,1.03441,0.37047,0.25049,0.19913,0.05451,3.35468,2.96254,1.41442,0.001241,0.001241,0.001241
48,2143.22,2.04188,0.88124,1.03349,0.44675,0.29081,0.25207,0.08609,3.05248,2.81499,1.32544,0.0012245,0.0012245,0.0012245
49,2185.82,1.9849,0.87292,1.03027,0.43717,0.29865,0.2652,0.0834,2.85273,2.78325,1.28257,0.001208,0.001208,0.001208
50,2230.99,2.03207,0.8794,1.03597,0.46417,0.30568,0.26824,0.08639,2.96781,2.7419,1.31025,0.0011915,0.0011915,0.0011915
51,2276.94,2.04842,0.90068,1.03347,0.40967,0.27606,0.22782,0.068,3.1954,2.86036,1.36611,0.001175,0.001175,0.001175
52,2318.97,1.99509,0.8845,1.03382,0.44622,0.28649,0.2471,0.0755,3.10358,2.82307,1.32912,0.0011585,0.0011585,0.0011585
53,2363.32,1.98366,0.88584,1.03346,0.45628,0.30077,0.26551,0.08592,3.01083,2.91728,1.31054,0.001142,0.001142,0.001142
54,2407.79,1.97661,0.88122,1.01874,0.44912,0.30127,0.26036,0.08197,2.95181,2.79069,1.30636,0.0011255,0.0011255,0.0011255
55,2450.11,1.98177,0.86574,1.0201,0.45695,0.29816,0.25822,0.07405,3.08588,2.82421,1.32998,0.001109,0.001109,0.001109
56,2493.95,1.92479,0.85537,1.02584,0.48939,0.31787,0.28298,0.10679,2.8892,2.80104,1.28257,0.0010925,0.0010925,0.0010925
57,2539.11,1.90931,0.84283,1.01534,0.43369,0.29418,0.25265,0.07291,3.14592,2.84013,1.3519,0.001076,0.001076,0.001076
